texto;covid
posso contrair covid na troca de curativos;1
protejo sempre a boca com máscara posso pegar pelos olhos/ouvidos/feridas na pele;1
posso pegar covid pela conversa com outra pessoa;1
se minha máscara estiver úmida corro o risco de ser contagiado;1
É possível pegar COVID-19 de uma pessoa que não apresenta sintomas;1
Posso pegar COVID-19 de fezes de alguém com a doença;1
Posso pegar coronavírus utilizando banheiro público;1
Se eu abraçar meu filho ele pode pegar;1
Posso pegar covid-19 colocando a mão no rosto;1
Tossir pode transmitir covid-19;1
Pegar covid-19 de assintomático;1
Assintomático transmite covid-19;1
minha parente tem covid-19 mas não tem sintoma;1
Quem não tem sintomas pode transmitir covid-19;1
As gotículas do espirro podem ficar em suspensão e contaminar quem passa;1
Meu/minha parente tem covid-19 mas não tem sintoma;1
Dá pra pegar covid-19 com moedas;1
Dá pra pegar covid-19 por cédula;1
Tive sintomas é coronavírus;1
Como o vírus responsável pela COVID-19 se espalha;1
Os coronavírus podem ser transmitidos de pessoa para pessoa;1
Qual a distância segura para não ser contaminado;1
Qual a distância mínima para não ser contaminado;1
Que distância devo manter para não ser contaminado;1
Como acontece a circulação do virus;1
Como acontece a circulação do coronavírus;1
recebi uma encomenda da china devo tomar cuidado;1
É seguro receber um pacote de qualquer área em que a COVID-19 tenha sido notificada?;1
É seguro comprar coisa da China?;1
É seguro importar de países com covid-19?;1
Minhas encomendas de área de risco via transportadoras pode vir contaminadas;1
compras de área de risco pela internet pode vir contaminadas;1
compras via e-commerce de área de risco pode chegar contaminadas;1
minhas encomendas postais de área de risco pode ser contaminadas;1
minhas encomendas de área infectadas via correios pode ser contaminadas;1
entregas postais localidades de risco podem conter virus;1
embalagens de sedex de produtos oriundos da china podem conter virus;1
embalagens de sedex de produtos chineses podem estar contaminadas;1
encomendas de produtos produzidos na china podem chegar com embalagens contaminadas;1
Quem está em risco de desenvolver doenças graves?;1
Fumantes e usuários de produtos de tabaco correm maior risco de infecção por covid?;1
sou obeso COVID_risco_doenca_grave;1
posso levar o virus pra dentro de casa após caminhada por espaço externo;1
debaixo das minhas unhas posso portar o virus mesmo após uso do alcool gel;1
meu cabelo pode manter o virus vivo ativo;1
minhas pele manter o virus vivo ativo;1
minhas roupas pode manter o virus vivo ativo;1
Preciso higienizar sacolas plásticas do supermercado?;1
Quanto tempo o virus sobrevive em objetos?;1
Preciso limpar as embalagens de comida de delivery?;1
Deixar a roupa no sol mata coronavírus?;1
Preciso lavar as embalagens do mercado?;1
Quanto tempo o vírus sobrevive em superfícies?;1
O virus permanece em ambientes fechados por tempo indeterminado;1
Se tocar as superfícies no ônibus corro risco de pegar covid-19?;1
Toalha de rosto compartilhada pode passar covid-19?;1
Devo lavar as roupas quando chegar em casa?;1
As frutas e verduras podem estar infectadas?;1
Os produtos do supermercado podem estar infectados?;1
Preciso passar álcool gel na sacola do supermercado?;1
posso levar o virus pra dentro de casa após tocar em espaço interno;1
Como se cadastrar no Cadastur;0
Gerar Cadastro no CADASTUR;0
incluri um novo exemplo de treinamento;0
Cadastur - Documentação exigida;0
Qual a finalidade do Cadastur;0
O Cadastur é obrigatório para;0
O Cadastur é opcional para;0
o que é o registro cadastur;0
O que é o Cadastur;0
Cadastur o que é;0
cadastur;0
cadastrotur;0
cadtur;0
cadtrur;0
cadastrur;0
explique-me o que registro cadastur;0
defina-me registro cadastur;0
registro cadastur é o que;0
Validade do Cadastur;0
quero cadastrar;0
cadastrar;0
gerar cadastro;0
alimentar cadastro;0
inserir cadastro;0
completar cadastro;0
preencher cadastro;0
fazer cadastro;0
queria cadastrar;0
so quero fazer o cadastro;0
cadastrar agora;0
me ensine a fazer o cadastro;0
como fazer o meu cadastro;0
como me cadastro;0
quero gerar meu cadastro;0
como faço para me cadastrar;0
como cadastrar;0
PREENCHER O CADASTRAMENTO;0
FAZER O CADASTRAMENTO;0
cadastramento;0
criar cadastro;0
login fala.br;0
registrar denuncia ouvidoria;0
acionar ouvidoria;0
falar com a ouvidoria e acesso a informação;0
ouvidoria;0
ouvidoria e acesso a informação;0
Controladoria geral da União;0
CGU;0
central de atendimento ao cidadão;0
Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação;0
atendimento ao cidadão;0
atendimento ao usuario;0
atendimento ao cidadao;0
queria denunciar o descumprimentos dos protocolos de higiente orientados pelo Selo;0
posso denunciar o descumprimentos das medidas de higiente orientadas pelo Selo;0
Denuncio o descumprimento do protocolo das medidas de proteção e segurança sanitária;0
como denunciar o descumprimento das medidas de proteção e segurança sanitária recomendadas pelo selo;0
quero denunciar o descumprimentos das medidas de higiente orientadas pelo Selo;0
Gostaria de fazer uma denúncia referente a um estabelecimento que não cumpre as normas de saúde.;0
denúncia referente a um estabelecimento por descumprimento de medidas de proteção e segurança sanitária;0
vendi meu estabelecimento e não quero continuar sendo o responsavel;0
fechei meu estabelecimento e quero cancelar o selo;0
tem como eu excluir minha adesão ao selo;0
quero retirar minha adesão ao selo turismo responsavel;0
É possível o prestador de serviço turístico retirar sua adesão ao Selo?;0
não tenho mais o interesse em usar o selo em meu estabelecimento;0
não quero mais ase filiado ao programa selo turismo;0
desisti de participar do programa selo turismo responsavel;0
vou cancelar meu selo como faço;0
quero me desfiliar do programa selo turismo responsavel;0
quero me desligar do programa selo turismo responsavel;0
quero sair do programa selo turismo responsavel;0
como faço para cancelar meu selo turismo reponsavel;0
meu estabelecimento faliu e quero sair do programa selo turismo;0
não estou conseguindo ter acesso a todo o material publicitário por download.;0
deu erro na emissão do selo;0
não apareceu nada quando selecionei exportar as peças promocionais;0
Após a emissão cliquei em exportar peças promocionais e nada apareceu;0
Não consigo emitir o Selo ocorre erro;0
o selo aparece sem o QR code. Como proceder?;0
Já aderi ao Selo e preciso das peças promocionais o que fazer;0
não aparece a opção para exportar as peças promocionais;0
Não obtive sucesso em exportar as peças promocionais;0
NÃO SEI SE MEU SELO CONTINUA ATIVO COMO VERIFICO;0
COMO SABER SE MEU SELO CONTINUA ATIVADO;0
COMO SABER SE MEU SELO ESTA OPERANTE;0
PRECISO SABER A SITUAÇÃO DO MEU SELO SE ATIVADO OU DESATIVADO;0
TEM COMO VER O STATUS DE ATIVAÇÃO DO MEU SELO;0
COMO VERIFICAR SE O SELO DO EMPREENDIMENTO CONTINUA ATIVO;0
COMO VERIFICAR SE O SELO DO EMPREENDIMENTO ESTÁ ATIVO;0
QUERO VER SE O SELO ESTA ATIVO PARA OS TURISTAS;0
COMO SABER SE MEU SELO CONTINUA ATIVO;0
COM O VERIFICO SE MEU SELO ESTA ATIVO;0
COMO FAÇO PARA SABER SE O SELO ESTA ATIVO;0
Como saber se o Selo está ativo para o prestador?;0
COMO EU VEJO SE O SELO ESTA ATIVADO;0
PARA SABER SE O SELO ESTA ATIVADO COMO PROCEDER;0
quais os protocolos necessarios para garantir a proteção e segurança sanitária;0
Protocolos necessários por tipo de estabelecimento;0
quais os Protocolos necessários;0
quais são protocolos praticados pelo programa selo turista responsavel;0
quais são protocolos estabelecidos pelo programa selo turista responsavel;0
quais os protocolos exigidos nos empreendimentos turisticos;0
quais os protocolos devo seguir no meu estabelecimentto;0
quais são os protocolos recomendados;0
quais são os protocolos gerais;0
quais são os protocolos especificos;0
quais são os protocolos transversais;0
quais são os protocolos setorias;0
onde pesquiso os protocolos para os hoteis;0
quais são os protocolos e medidas de proteção e segurança para hospedagem;0
tenho um hotel qual o protocolo devo seguir;0
tenho um hotel qual o protocolo a praticar;0
qual o protocolo tenho que adotar para meu hotel pousada;0
hoteis devem seguir qual protocolo;0
quais são os protocolos de melhores praticas para hospedagem;0
quais são as medidas especificas do protocolo para hospedagem;0
os hoteis devem seguir medidas especificas do protocolo;0
os hoteis tem um protocolo especifico;0
existe um protocolo especifico para meios de hospedagem;0
meios de hospedagem;0
o setor hoteleiro possuira um protocolo especifico;0
recomendaçoes para os hoteis;0
hostalagem;0
albergaria;0
hospedaria;0
flotel;0
albergues;0
moteis;0
resorts;0
pensões;0
pousadas;0
estalagem;0
estalagem pousadas pensões;0
hoteis;0
protocolos para hotelaria e hospedagem;0
protocolos para as rede de hoteis;0
protocolos para os hoteis;0
protocolos para hospedagem;0
recomendações para resorts;0
recomendações para hospedagem;0
recomendações para hotel;0
as recomendaçoes para aos meios de hospedagem;0
onde acho o protocolo para o setor hoteleiro;0
onde pesquiso os protocolos para o setor hoteleito;0
onde consigo ver os protocolos par ao setor hoteleito;0
E o setor hoteleiro qual protocolo deve seguir;0
qual o protocolo a ser seguido pelo hoteis;0
qual o protocolo para o setor hoteleiro;0
o setor hoteleiro possuira um protocolo unico;0
o setor hoteleiro cumprirá protocolo especifico;0
qual o protocolo recomendado para os meios de hospedagem;0
qual o protocolo recomendado para os hoteis pousadas resorts;0
quais são os protocolos estabelecidos para o ramo da hotelaria;0
protocolos para os setores de Meios de Hospedagem;0
o interessado deve atender às orientações previstas no protocolo destinado à atividade turistica em que atua;0
por meio de auto declaração que atende aos pré-requisitos que lhe permite solicitar a adesão ao Selo;0
COMO OS EMPREENDIMENTOS PODERÃO aderir para ter ACESSO A ESSE SELO?;0
dada novas orientações de higiene como farei para me atualizar;0
como se dara as atualizações no protocolo;0
o protocolo tera atualizações frequentes;0
o protocolo sera atualizado;0
o protocolo muda;0
O protocolo é um documento único ou pode ser atualizado?;0
quando tiver outras recomendaçoes de higiene como as atualizarei;0
como sera a atualização quando eu for informado de novas medidas de higiene;0
como atualizar quando eu for informado de novas medidas de higiene;0
quando eu for informado de novas recomendaçoes de higiene como atualizar;0
Como vou me manter atualizado para as novas orientaçoes de higiene divulgadas pelo Mtur;0
saiu novas orientaçoes de higiene como vou atualizar meu selo;0
como ficarei sabendo se houve novas orientações para o meu tipo de estabelecimento;0
como ficarei sabendo se houve novas orientações de higiene para aquele tipo de estabelecimento;0
Sempre que o Ministerio do Turismo divulgar novas orientações de higiene devo atualizar o selo;0
Sairam novas o orientações de higiene divulgadas de Mtur o que fazer;0
o selo sempre devera ser atualizado quando surgir novas orientações de higiene;0
caso surjam novas orientações de higiene como atualizar o selo;0
caso surjam novas orientações de higiene preciso imprimir novo selo;0
se as medidas de higiene sanitaria forem atualizações preciso fazer o dowload do selo novamente;0
quando as medidas de higiene sanitaria forem atualizações preciso baixar novo selo;0
as medidas de higiene sanitaria do protocolo terão atualizações frequentes;0
as medidas de higiene sanitaria recomendadas pelo selo terão atualizações frequentes;0
as medidas de higiene sanitaria estabelecidas pelo selo terão atualizações frequentes;0
O protocolo estabelecido pelo selo terá atualizações;0
O PROTOCOLO É UM DOCUMENTO ÚNICO OU PODERÁ SER ATUALIZADO?;0
QUAIS OS CRITÉRIOS observados pelo MINISTÉRIO DO TURISMO PARA FORMULAÇÃO DESSES PROTOCOLOS;0
QUAIS OS CRITÉRIOS UTILIZADOS PELO MINISTÉRIO DO TURISMO PARA FORMULAÇÃO DESSES PROTOCOLOS?;0
QUAIS OS CRITÉRIOS UTILIZADOS PELO MTUR PARA FORMULAÇÃO DESSES PROTOCOLOS?;0
Os protocolos propostos FORAM submetidos ao crivo técnico da Agência Nacional de Vigilância Sanitária (Anvisa) e do Ministério da Saúde.;0
Os protocolos FORAM VALIDADOS PELA Agência Nacional de Vigilância Sanitária (Anvisa);0
A adoção dos protocolos do selo levou em consideração medidas adotadas por entidades internacionais similares;0
A adoção dos protocolos de levou conta os protocolos medidas adotadas por entidades internacionais;0
Os protocolos propostos FORAM VALIDADOS PELO Ministério da Saúde.;0
CRITÉRIOS PARA FORMULAÇÃO DOS PROTOCOLOS foram validados pela anvisa;0
qual a validação do protocolo;0
Os protocolos propostos FORAM validados PELA Anvisa;0
os protocolos foram construídos em conjunto com os profissionais do setor;0
os protocolos que regem o selo teve o de acordo da anvisa;0
A criação dos protocolos levou em consideração medidas adotadas por entidades internacionais similares;0
Os protocolos foram submetidos ao crivo técnico da Agência Nacional de Vigilância Sanitária - Anvisa;0
o uso do SELO REPRESENTA CUSTO adicional NO VALOR DOS SERVIÇOS TURÍSTICOS?;0
O SELO REPRESENTARÁ UM CUSTO A MAIS NO VALOR DOS SERVIÇOS TURÍSTICOS;0
terei custos adicionais com as medidas impostas pelo Selo posso cobrar nos serviços;0
terei custos adicionais com as medidas impostas pelo Selo posso embutir nos serviços turisticos;0
terei despesas adicionais com os protocolos de higiente posso embutir os custos nos serviços turisticos;0
como o selo posso ratear as despesas de higiene nas taxas de serviço;0
posso ratear as despesas de higiene nas taxas de serviço depois que eu aderir ao Selo Turismo responsavel;0
posso ratear as despesas de higiene nas taxas de serviço depois que meu empreendimento aderir ao Selo Turismo responsavel;0
tenho o selo como farei para compensar as despesas extras com as medidas de higiene;0
o selo exigiu varios controle de higiene como faço para compensar as despesas extras;0
o selo exigiu varias medidas de segurança e higiene como faço para compensar as despesas extras;0
como farei com as despesas extraordinarias depois que aderi ao selo turismo responsavel;0
O governo reduzira impostos para compensar as despesas extraordinarias impostas pelo uso do selo;0
A DIÁRIA TERÁ UM VALOR MAIOR para quem aderir ao selo turismo responsavel;0
A DIÁRIA TERÁ UM VALOR MAIOR para remunerar as despesas com medidas de higiene;0
A DIÁRIA TERÁ UM VALOR MAIOR para compensar as despesas com medidas de higiene;0
Posso aumentar o valor das diárias para cobrir os custos como as medidas de segurança do selo;0
Posso aumentar o valor das taxas de serviço com as medidas de higiene impostas pelo Selo;0
com as medidas de higiene impostas pelo Selo Posso aumentar o valor das taxas de serviço;0
O governo reduzira impostos para compensar as despesas extras com as medidas de higiene exigidas pelo Selo;0
há perspectiva de acréscimo no valor dos serviços prestados apos adoção das medidas;0
Após a adoção das medidas recomendadas há perspectiva de acréscimo no valor dos serviços prestados;0
Após a adoção das medidas recomendadas há previsão de aumento no valor dos serviços prestados;0
TEREMOS VARIAÇÃO NAS TAXAS DE SERVIÇOS DEVIDO AO CUSTO ADICIONAL IMPOSTO PELO PROTOCOLO;0
TEREMOS VARIAÇÃO NAS TAXAS DE SERVIÇOS DEVIDO AO CUSTO ADICIONAL IMPOSTO PELAS MEDIDAS DE HIGIENE;0
OS PREÇOS TERÃO ACRESCIMOS DEVIDO A IMPLEMENTAÇÃO DAS MEDIDAS SANITARIAS;0
OS PREÇOS TERÃO ACRESCIMOS DEVIDO A IMPLEMENTAÇÃO DAS MEDIDAS DE HIGIENE;0
OS PREÇOS SERÃO ACRESCIDO DEVIDO AO CUSTO DOS MATERIAIS DE HIGIENE SANITARIA;0
E OS PREÇOS SERÃO COMPROMETIDOS PELO MAIOR GASTO DE PRODUTOS DE HIGIENE SANITARIA;0
E OS PREÇOS SERÃO COMPROMETIDOS PELO MAIOR GASTO DE PRODUTOS DE LIMPEZA E HIGIENE;0
OS PREÇOS SOFRERÃO AUMENTO DEVIDO O MAIOR CONSUMO DE PRODUTOS DE LIMPEZA E HIGIENE;0
A DIÁRIA TERÁ UM VALOR MAIOR NOS ESTABELECIMENTOS COM COM SELO;0
HAVERA VARIAÇÃO NAS TAXAS DE SERVIÇOS DEVIDO AO CUSTO DAS MEDIDAS IMPOSTAS PELO SELO;0
TEREMOS VARIAÇÃO NAS TAXAS DE SERVIÇOS DEVIDO AO CUSTO ADICIONAL IMPOSTO PELO SELO;0
ESTE SELO REPRESENTARÁ UM CUSTO A MAIS NO VALOR NAS TAXAS DE SERVIÇOS TURÍSTICOS?;0
O SELO IMPLICARA NO AUMENTO DAS TAXAS DE SERVIÇOS;0
COM O SELO OS ESTABELECIMENTOS AUMENTARÃO AS TAXAS DE SERVIÇOS;0
AS TAXAS DE SERVIÇOS SERÃO AFETADAS COM A ADOÇÃO DO SELO;0
HAVERA VARIAÇÃO NAS TAXAS DE SERVIÇOS DEVIDO AS MEDIDAS IMPOSTAS PELO SELO;0
onde vejo as medidas especificas para aquele tipo de estabelecimento;0
COMO OS CLIENTES VÃO SABER O QUE EXIGIR DO ESTABELECIMENTO EM RELAÇÃO À HIGIENE?;0
O QUE OS CLIENTES PODERÃO EXIGIR DO ESTABELECIMENTO EM RELAÇÃO À HIGIENE;0
OS CLIENTES PODERÃO EXIIGIR boas práticas de higienização para cada segmento do setor turistico;0
COMO OS CLIENTES PODERÃO EXIGIR A CONFORMIDADE RELACIONADAS AS boas práticas de higienização;0
AS boas práticas de higienização PODERÃO SER EXIGIDAS PELOS CLIENTES;0
Como saber estão em conformidade com com as medidas para aquele tipo de estabelecimento;0
SERÁ FACIL EXIGIR A CONFORMIDADE DOS ESTABELECIMENTOS COM BASE NOS PROTOCOLOS;0
qto custa o selo;0
qto custa um selo;0
Precisa pagar?;0
É de graça?;0
É gratuito?;0
Tem algum custo?;0
tem custo;0
qual A TAXA cobrada pelo selo TURISTA RESPONSAVEL;0
preciso pagar para pedir o selo TURISTA RESPONSAVEL PARA O MEU ESTABELECIMENTO;0
tem taxa para obter o selo TURISTA RESPONSAVEL;0
tem taxa para usar o selo TURISTA RESPONSAVEL;0
Tenho que pagar para ter o selo TURISTA RESPONSAVEL em meu empreendimento;0
preciso RECOLHER ALGUMA TAXA para PARA ADERIR AO PROGRAMA selo TURISTA RESPONSAVEL;0
preciso RECOLHER ALGUMA TAXA para ter o selo TURISTA RESPONSAVEL;0
preciso pagar para ter o selo TURISTA RESPONSAVEL;0
HÁ PAGAMENTO DE TAXAS PARA ADERIR AO PROGRAMA SELO TURISTA RESPONSÁVEL;0
O INTERESSADO EM USAR O SELO PRECISA PAGAR ALGUMA COISA?;0
eu pago alguma taxa para usar o selo TURISTA RESPONSAVEL;0
para ter o selo TURISTA RESPONSAVEL quanto tenho que pagar;0
para PEDIR o selo TURISTA RESPONSAVEL quanto tenho que pagar;0
para REQUERER o selo TURISTA RESPONSAVEL quanto tenho que pagar;0
quero ter o selo qual o valor do selo TURISTA RESPONSAVEL;0
qual o valor cobrado pelo selo TURISTA RESPONSAVEL;0
O interessado em tirar o selo precisa pagar alguma coisa?;0
Quanto custa pra tirar?;0
Quanto pago pra tirar?;0
o quanto terei que pagar para tirar;0
Quanto custa o selo?;0
qual o valor do selo;0
Quanto custa um selo?;0
quanto custa 01(um) selo;0
quanto custa dois selos;0
quanto custa tres selos;0
qto pagarei;0
quanto pagarei;0
qto pago;0
quanto paga;0
TEM O SEL MAS NÃO SEGUE O PROTOCOLO DE HIGIENE E CUIDADOS;0
TEM O SELO VISIVEL MAS NÃO SEGUE AS MEDIDAS DE HIGIENE;0
TEM O SELO VISIVEL MAS NÃO SEGUE O PROTOCOLO DE SEGURANÇA;0
PRA QUE O SELO NÃO ESTÃO CUMPRINDO O PROTOCOLO;0
IRREGULARIDADE DE CONTROLE EM EMPREENDIMENTOS COM SELO;0
SE O TURISTA IDENTIFICAR ALGUMA IRREGULARIDADE EM UM LOCAL QUE USA O SELO;0
O TURISTA IDENTIFICAR ALGUMA IRREGULARIDADE O QUE DEVERÁ SER FEITO? COMO PROCEDER;0
SE O TURISTA IDENTIFICAR ALGUMA NÃO CONFORMIDADE EM UM LOCAL QUE USA O SELO O QUE DEVERÁ SER FEITO?;0
O LOCAL ONDE ME HOSPEDEI TEM O SELO MAS ESTA CHEIO DE IRREGULARIDADE O QUE FAÇO;0
O LOCAL ONDE ME HOSPEDEI TEM O SELO MAS ESTA CHEIO DE IRREGULARIDADE COMO PROCEDER;0
O SELO NÃO ADIANTOU DE NADA O EMPREENDIMENTO ESTA COM IRREGULARIDADES;0
O SELO NÃO ADIANTOU DE NADA O EMPREENDIMENTO NÃO ESTA CUMPRINDO OS PROTOCOLOS;0
O SELO NÃO ADIANTOU DE NADA O EMPREENDIMENTO NÃO ESTA CUMPRINDO AS RECOMENDAÇÕES;0
DE QUE ADIANTA TER O SELO SE LUGAR NÃO ESTA CUMPRINDO AS MEDIDAS DE HIGIENE;0
SERÁ OBRIGATÓRIO O USO DO SELO TURISMO RESPONSÁVEL;0
O MINISTÉRIO DO TURISMO PRETENDE TORNAR OBRIGATÓRIO O USO DESTE SELO;0
o selo é obrigatorio;0
sou obrigado usar o selo em meu estabelecimento;0
Obrigatoriedade;0
é obrigatorio;0
serei multado se não tiver o selo turista responsavel;0
e se eu não aderir ao selo turista responsavel o que acontecerá;0
qual é a lei que obriga ter o selo turista responsavel;0
tem alguma lei obrigando o uso do selo;0
tem alguma lei que obriga o uso do selo turismo responsavel;0
qual a punição para o empreendimento que não aderir ao programa Selo Turista Responsavel;0
heverá punição para o estabelecimento que não aderir ao programa Selo Turista Responsavel;0
sou obrigado a bubcar o selo;0
o uso do selo é obrigatorio;0
é obrigatorio usar o selo;0
nao tenho o selo turista responsavel terei que pagar multa;0
nao tenho o selo turista responsavel terei punição punições;0
sem o selo turista responsavel terei punição punições;0
estou obrigado a ter o selo turista responsavel visivel para os turistas;0
posso ser multado por não ter o selo turismo responsavel;0
posso ser fiscalizado por não ter o selo turismo responsavel;0
para meu estabelecimento voltar a funcionar preciso ter o selo;0
é obrigatorio usar o selo Turismo Responsavel para voltar as atividades;0
é obrigatorio usar o selo Turismo Responsavel para funcionar;0
sou obrigado a usar o selo em meu EMPREENDIMENTO;0
selo turismo;0
O que é o programa Selo Turismo Responsável?;0
defina Selo turismo responsavel;0
esse selo é o que mesmo?;0
Para que serve o selo turismo responsavel?;0
qual papel deste selo turismo responsavel;0
qual a finalidade do selo;0
qual a finalidade do Selo Turismo?;0
qual o papel do Selo Turismo na retomada da atividade turistica no Brasil;0
esse programa Selo Turismo responsavel adota medidas eficazes;0
a que se destina esse programa Selo turismo responsavel;0
qual a finalidade do programa que estabeleceu o Selo Turismo responsavel?;0
qual a finalidade do do programa Selo Turismo responsavel?;0
o que o governo brasileiro espera com o selo;0
o Brasil esta incentivando a adesão ao programa selo turista responsavel;0
o governo esta incentivando a massificação do uso do selo turista responsavel;0
o programa selo turista responsavel segue boas praticas de higienização dos ambientes;0
o que é o selo turismo responsavel;0
o que é o selo responsavel;0
selo;0
selo turismo responsavel;0
o que é o selo;0
o que é o selo turismo;0
o que é o selo responsavel seguro;0
programa turismo responsavel;0
programa;0
Pra que serve?;0
para que serve o selo;0
onde eu vejo quem ja associou ao protocolo do selo;0
existe algum site onde eu possa ver quais são as empresas que adotaram o selo;0
tem algum painel gerencial que diz quais empresas ja aderiram ao selo;0
onde acho a relação dos empreendimentos turisticos que aderiram ao selo turismo;0
onde acho a relação das empresas que aderiram ao selo turismo;0
onde consulto os estabelecimentos que ja aderiram ao programa selo turismo responsavel;0
quais os prestadores de serviços turisticos ja aderiram ao selo;0
quem ja aderiu ao selo;0
como saber quais empreendimentos que aderiram ao selo;0
como pesquiso os prestadores de serviços turisticos habilitados ao selo;0
como pesquiso os prestadores habilitados;0
COMO PESQUISO SE UM HOTEL JA ADERIU AO SELO;0
COMO PESQUISO SE UM EMPRENDIMENTO JA ADERIU AO SELO;0
NO MEU ESTADO QUANTOS EMPREENDIMENTOS TURISTICOS JA ADERIRAM;0
onde consulto os estabelecimentos que ja aderiram ao selo;0
Observei um aumento no número de selos no painel de acompanhamento;0
Observei uma redução no número de selos no painel de acompanhamento;0
COMO VERIFICO QUANTOS EMPREENDIMENTOS EM JÁ ADERIRAM O SELO;0
COMO CONFIRO QUEM JÁ ADERIU AO SELO;0
COMO BUSCO OS EMPREENDIMENTOS QUE JÁ ADERIRAM AO PROGRAMA SELO TURISMO;0
COMO FAÇO PARA SABER OS EMPREENDIMENTOS QUE JÁ ADERIRAM AO PROGRAMA SELO;0
COMO PESQUISO QUAIS EMPRESAS ADERIRAM AO PROGRAMA SELO TURISMO RESPONSAVEL;0
COMO CONSULTO QUAIS EMPRESAS ADERIRAM AO PROGRAMA SELO TURISMO RESPONSAVEL;0
COMO FUNCIONA O “PAINEL DE ADESÕES” DO SELO?;0
preciso saber quais empreendimentos fizeram adesao ao selo;0
vou viajar e quero pequisar quais estabelecimentos foram habilitados no programa Selo Turista Responsavel;0
vou viajar e quero pequisar quais estabelecimentos estão cadastrados no programa Selo Turista responsavel;0
preciso saber se um determinado estabelecimento adotou o selo;0
como consultar os estabelecimentos que ja adotaram o selo;0
onde eu vejo quem ja adotou o selo;0
existe um prazo para a emissão do selo;0
Prazo de entrega;0
previsão de entrega do selo;0
demora muito para eu receber o selo;0
QUANTO TEMPO ESSA SOLICITAÇÃO DEMANDA;0
quanto tempo demora para eu ter o selo;0
quanto tempo leva para liberar o selo;0
tenho que esperar quanto tempo para receber o selo;0
qual previsão de entrega do selo;0
terei que esperar quanto tempo até receber o selo;0
